How are you feeling about the upcoming Semester Exam,How is your Preparation,What is your feeling in one word,Analysis
like seriously ,going on ,Bad,1
Good ,Not Goodough ,Bad,0
Happy ,Good,Good,1
A little Bad,Bad...pretty Baduess,Bad,0
feeling Bad,good,Good,1
Bad,Trying to focus!,Bad,0
Bad,Good ,Bad,0
Nahi dena wale hm,"Are ghanta,, padhai to kuch hua nahi,, syallabus tk pata nahi hau",Good,1
prepared,good,Good,1
Bad Good ,Idk,Good,0
Good ,well ,Good,1
good,wel to do,Bad,1
Easy,Good,Good,1
Good ,Started doing it,Bad,1
Could do something better.,Least prepared.,Bad,0
Good,Great,Good,1
Might be difficult ,Only college preparation and little self study ,Bad,0
Goodd Bad.,Quite good..,Bad,1
Worried but doing nothing for it,Not started yet,Bad,0
Unhappy ,0,Bad,0
Till now I'm feeling Gooded but soon I will start my preparation,Average,Good,1
Feeling Bad Bad,Running in a daily basis,Bad,1
Cannot describe ,Just started ,Bad,0
Feeling nothing ,I have started ,Bad,0
Good,Good,Good,1
Ok,Ok,Bad,1
Good,Good,Bad,1
